term,frequency
chris,1
christian,1
chuck,1
cia,1
cite,1
civil,1
clear,1
coach,1
coal,1
coast,1
collaps,1
comeback,1
comfort,1
communiti,1
complet,1
comput,1
congression,1
connect,1
consecut,1
conspiraci,1
convers,1
convict,1
core,1
correct,1
correspond,1
cost,1
council,1
coupl,1
coverup,1
cpac,1
crackdown,1
craft,1
crimin,1
critic,1
cuban,1
culturea,1
cuomo,1
dakota,1
data,1
dead,1
dealer,1
debt,1
defeat,1
deleg,1
delta,1
democraci,1
depend,1
describ,1
design,1
destruct,1
detain,1
detroit,1
devast,1
dhsgovd,1
didnt,1
die,1
difficult,1
difficulti,1
dignifi,1
digniti,1
discredit,1
display,1
district,1
dow,1
drop,1
dude,1
dumb,1
duti,1
dwindl,1
earli,1
easi,1
east,1
economi,1
eight,1
either,1
el,1
eli,1
ellison,1
embolden,1
empti,1
energi,1
enter,1
enthusiast,1
entir,1
entitl,1
environ,1
epidem,1
equip,1
era,1
erni,1
especi,1
essenti,1
etc,1
eu,1
everi,1
everybodi,1
evil,1
express,1
extend,1
exxon,1
fabric,1
face,1
fact,1
fade,1
fair,1
fals,1
fantast,1
favor,1
fbijust,1
fbishould,1
februari,1
fed,1
feel,1
fiction,1
field,1
fighterjet,1
fla,1
flee,1
flexibl,1
fold,1
follow,1
ford,1
form,1
formal,1
former,1
fox,1
franc,1
fraud,1
free,1
fun,1
fund,1
futur,1
gain,1
gang,1
gas,1
gave,1
gitmo,1
gm,1
golf,1
gone,1
graham,1
green,1
gregg,1
grip,1
gulf,1
gun,1
hack,1
hail,1
hall,1
hallmark,1
halt,1
hand,1
happier,1
hater,1
hatr,1
havendet,1
headquart,1
hear,1
heard,1
heart,1
heavi,1
henri,1
here,1
herebi,1
hero,1
hes,1
highest,1
hillari,1
hit,1
hj,1
hold,1
holocaust,1
home,1
honest,1
hope,1
horror,1
hotlinejosh,1
httpstcobknrkk,1
httpstcobspqqf,1
httpstcoebupkz,1
httpstcofjoiul,1
httpstcojbsegv,1
httpstcojigiff,1
human,1
humana,1
hunt,1
hurt,1
husband,1
hypocrit,1
id,1
iii,1
ill,1
imagin,1
immedi,1
impress,1
inaccur,1
incom,1
inde,1
infight,1
inherit,1
innoc,1
innov,1
instead,1
instruct,1
insur,1
intel,1
interfer,1
involv,1
isi,1
isnt,1
israelipm,1
itd,1
ive,1
jackson,1
jail,1
japanese,1
john,1
jointaddress,1
jointsess,1
joke,1
kelli,1
kellogg,1
keyston,1
kid,1
kind,1
known,1
korea,1
kraft,1
kravi,1
krzanich,1
lake,1
later,1
lawenforc,1
lawfar,1
leadership,1
learn,1
leg,1
length,1
leopoldo,1
liber,1
libya,1
lienow,1
lifelin,1
likewis,1
liliantintori,1
lindsey,1
linkedin,1
littl,1
littlew,1
lock,1
longterm,1
lopez,1
louvr,1
lowlif,1
mad,1
mailbox,1
main,1
march,1
marcorubio,1
margin,1
mari,1
marineon,1
mask,1
matter,1
may,1
mayb,1
mayor,1
mayorbows,1
mccarthyism,1
melania,1
melbourn,1
member,1
mention,1
meritbas,1
messjust,1
metro,1
miamidad,1
mic,1
michigan,1
middleeastern,1
mike,1
miller,1
mine,1
minut,1
misrepres,1
missil,1
missileshould,1
mistak,1
mnuchin,1
mo,1
mobil,1
motor,1
mountain,1
movement,1
mr,1
mrs,1
mrxi,1
msnbc,1
muir,1
nafta,1
nanci,1
narrat,1
nashvill,1
nbc,1
nbcwsj,1
near,1
negat,1
neil,1
neverforget,1
next,1
nick,1
nixonwaterg,1
nkorea,1
nobodi,1
nonsens,1
nordstrom,1
north,1
nov,1
novemb,1
nowddwer,1
numer,1
oclock,1
octob,1
od,1
offd,1
onesid,1
open,1
oppos,1
opposit,1
optimist,1
origin,1
orlando,1
outag,1
outcri,1
outlet,1
outrag,1
ovat,1
overplay,1
overturn,1
overwhelm,1
owen,1
pa,1
pack,1
palm,1
panel,1
parentteach,1
pari,1
part,1
patriot,1
paul,1
pay,1
peac,1
peod,1
per,1
peril,1
permeat,1
person,1
phase,1
philadelphia,1
phillip,1
photo,1
pickedoff,1
pictur,1
pipelin,1
plant,1
pleas,1
pledg,1
polici,1
politicsand,1
poor,1
popular,1
possibl,1
post,1
potenti,1
practic,1
predict,1
prepar,1
presidenti,1
primari,1
principl,1
procedur,1
profession,1
progress,1
promot,1
protectd,1
prove,1
provid,1
pull,1
pure,1
push,1
question,1
ran,1
randpaul,1
rapid,1
reach,1
